Modulator	TF	significantTriplets	pvalue
Cacng2	Epas1	152	4.228344153047736E-4
Cacng2	Psmc3ip	202	8.770761894538737E-14
Cacng2	Tcf7	175	8.041815569015398E-8
Cacng2	Zfp36l1	175	8.041815569015398E-8
Cacng3	Epas1	165	4.848611733110353E-6
Cacng3	Nfkb1	550	0.0
Cacng3	Psmc3ip	410	0.0
Cacng3	Tcf3	612	0.0
Cacng3	Tcf7	198	8.461009670668318E-13
Cacng3	Tgif1	721	0.0
Cacng3	Zdhhc2	215	0.0
Cacng3	Zfp36l1	186	4.711634415954791E-10
Cacng4	Nfkb1	281	0.0
Cacng4	Tcf3	211	4.440892098500626E-16
Cacng4	Zfp36l1	338	0.0
Cacng5	Nfkb1	522	0.0
Cacng5	Psmc3ip	150	7.687880084403798E-4
Cacng5	Tcf3	257	0.0
Cacng5	Tgif1	207	4.6629367034256575E-15
Cacng5	Zfp36l1	249	0.0
Calr	Epas1	232	0.0
Calr	Nfkb1	304	0.0
Calr	Tcf3	271	0.0
Calr	Tcf7	364	0.0
Calr	Tgif1	304	0.0
Calr	Zdhhc2	145	0.00307810351166915
Calr	Zfp36l1	411	0.0
Caly	Nfkb1	162	1.4848526926014571E-5
Caly	Tcf3	442	0.0
Caly	Tgif1	342	0.0
Camk1g	Nfkb1	309	0.0
Camk1g	Tcf3	179	1.3369621076897431E-8
Camk1g	Tgif1	183	2.039871049852593E-9
Camk2d	Nfkb1	388	0.0
Camk2n1	Tgif1	288	0.0
Camkv	Tgif1	282	0.0
Cap1	Tcf7	395	0.0
Cap2	Nfkb1	433	0.0
Cap2	Psmc3ip	167	2.2341343067777686E-6
Cap2	Tcf3	634	0.0
Cap2	Tgif1	500	0.0
Cap2	Zdhhc2	248	0.0
Cap2	Zfp36l1	241	0.0
Capn3	Tcf3	212	2.220446049250313E-16
Caprin2	Nfkb1	568	0.0
Caprin2	Tcf3	650	0.0
Caprin2	Tcf7	217	0.0
Caprin2	Zfp36l1	362	0.0
Car2	Tgif1	254	0.0
Casp3	Tcf7	453	0.0
Casp3	Zfp36l1	152	4.228344153047736E-4
Casp4	Epas1	159	4.3155750089285405E-5
Casp4	Nfkb1	317	0.0
Casp4	Tcf3	607	0.0
Casp4	Tcf7	172	2.916654073814584E-7
Casp4	Tgif1	886	0.0
Casp4	Zfp36l1	222	0.0
Casp8	Epas1	243	0.0
Casp8	Psmc3ip	141	0.008350802592771323
Casp8	Tcf3	180	8.42281966395575E-9
Casp8	Tcf7	172	2.916654073814584E-7
Casp8	Tgif1	239	0.0
